City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,klyuchi,52.2667,79.1667,14.28,86,100,4.29,RU,1718155606
146,vilyuchinsk,52.9306,158.4028,10.15,90,99,2.11,RU,1718155606
147,yuzhno-kurilsk,44.0306,145.8556,14.89,80,39,2.83,RU,1718155606
148,pervomayskiy,53.2485,40.2871,18.46,70,9,3.3,RU,1718155606
149,vallet,47.1667,-1.2667,8.71,94,11,2.77,FR,1718155606
150,mount isa,-20.7333,139.5,24.87,23,0,6.19,AU,1718155606
151,uturoa,-16.7333,-151.4333,25.79,71,100,8.55,PF,1718155606
152,korsakov,46.6328,142.7813,13.91,94,100,0.92,RU,1718155606
153,ribeira grande,38.5167,-28.7,17.65,87,88,2.68,PT,1718155606
154,bamboo flat,11.7,92.7167,30.05,79,40,4.63,IN,1718155606
155,huarmey,-10.0681,-78.1522,18.54,84,81,2.93,PE,1718155607
156,south hedland,-20.4089,118.5983,25.96,25,0,3.6,AU,1718155607
157,tabas,33.5959,56.9244,30.08,15,14,2.41,IR,1718155607
158,kismayo,-0.3582,42.5454,25.61,80,74,7.05,SO,1718155607
159,dalandzadgad,43.5708,104.425,21.49,39,22,10.37,MN,1718155607
160,olonkinbyen,70.9221,-8.7187,-1.01,84,37,0.51,SJ,1718155607
161,arar,30.9753,41.0381,27.01,13,0,0.0,SA,1718155607
162,laichingen,48.4894,9.6861,8.84,99,6,1.4,DE,1718155607
163,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,90,75,4.47,RU,1718155607
164,brookings,44.3114,-96.7984,26.19,46,0,3.09,US,1718155420
165,timbuktu,16.7735,-3.0074,34.33,29,42,4.79,ML,1718155607
166,hafar al-batin,28.4328,45.9708,31.32,16,40,2.06,SA,1718155607
167,morwell,-38.2333,146.4,9.67,62,83,3.76,AU,1718155607
168,kerikeri,-35.2268,173.9474,14.88,52,0,0.75,NZ,1718155607
169,keyser,39.4409,-78.9739,18.4,87,30,1.8,US,1718155607
170,college,64.8569,-147.8028,22.99,52,75,2.57,US,1718155607
171,port lincoln,-34.7333,135.8667,15.22,72,93,3.45,AU,1718155607
172,pariaman,-0.619,100.12,26.03,73,42,1.25,ID,1718155607
173,bataipora,-22.2953,-53.2711,20.42,48,0,2.69,BR,1718155607
174,olinda,-8.0089,-34.8553,24.85,94,75,3.6,BR,1718155464
175,berdyansk,46.7503,36.7944,22.55,64,16,0.99,UA,1718155607
176,papao,-17.75,-149.55,27.82,72,57,10.17,PF,1718155607
177,igarka,67.4667,86.5833,8.34,77,100,4.92,RU,1718155608
178,kapa'a,22.0752,-159.319,30.99,77,20,7.2,US,1718155608
179,lata,40.1629,-8.3327,13.93,98,15,0.95,PT,1718155608
180,witu,-2.3889,40.4382,24.87,81,92,6.7,KE,1718155608
181,aasiaat,68.7098,-52.8699,1.16,92,100,2.09,GL,1718155608
182,westport,41.1415,-73.3579,20.9,68,100,2.57,US,1718155421
183,santa ana,33.7456,-117.8678,26.91,76,75,4.63,US,1718155525
184,alvaraes,-3.2208,-64.8042,24.54,93,19,1.37,BR,1718155608
185,denov,38.2667,67.9,27.89,30,5,3.08,UZ,1718155608
186,erzincan,39.75,39.5,10.61,76,0,1.03,TR,1718155608
187,pesqueira,-8.3578,-36.6964,17.41,97,46,2.46,BR,1718155535
188,kitami,43.8031,143.8908,24.7,56,12,1.45,JP,1718155608
189,port elizabeth,-33.918,25.5701,22.16,43,0,5.14,ZA,1718155608
190,khandyga,62.6667,135.6,21.43,36,81,1.9,RU,1718155608
191,menaka,15.9182,2.4022,28.71,61,0,9.21,ML,1718155608
192,suomussalmi,64.8869,28.9078,6.32,97,14,2.0,FI,1718155608
193,berekum,7.4534,-2.584,22.18,99,48,1.95,GH,1718155608
194,kalemie,-5.9475,29.1947,22.47,74,15,6.12,CD,1718155608
195,ar rutbah,33.0381,40.2848,26.24,26,0,4.31,IQ,1718155608
196,lenoir city,35.7973,-84.256,21.87,65,88,0.45,US,1718155506
197,chilecito,-29.1619,-67.4974,13.55,54,6,0.98,AR,1718155340
198,seydi,39.4816,62.9137,29.94,22,73,6.0,TM,1718155608
199,ulaangom,49.9811,92.0667,18.52,54,98,1.66,MN,1718155608
200,praia da vitoria,38.7333,-27.0667,19.14,82,20,0.63,PT,1718155609
201,leh,34.1667,77.5833,6.95,37,5,1.3,IN,1718155609
202,kham sakae saeng,15.3322,102.1728,29.25,69,84,5.05,TH,1718155609
203,katsuura,35.1333,140.3,23.41,79,92,4.1,JP,1718155609
204,yesilhisar,38.3497,35.0867,19.19,49,0,1.24,TR,1718155339
205,boa vista,2.8197,-60.6733,28.99,79,40,1.54,BR,1718155565
206,delta,5.5,6.0,23.63,97,100,1.22,NG,1718155609
207,mont-tremblant,46.1949,-74.6264,14.21,88,100,1.03,CA,1718155405
208,zajecar,43.9036,22.2641,19.13,88,4,1.82,RS,1718155609
209,wailua homesteads,22.0669,-159.378,30.24,77,20,7.2,US,1718155609
210,zelenchukskaya,43.858,41.5894,12.32,91,4,2.77,RU,1718155609
211,san juan de miraflores,-12.1629,-76.9635,18.43,85,99,2.49,PE,1718155609
212,prince rupert,54.3161,-130.3201,11.83,96,100,10.29,CA,1718155609
213,ribeira brava,32.65,-17.0667,19.35,74,35,1.69,PT,1718155609
214,san patricio,28.017,-97.5169,31.4,60,3,5.8,US,1718155609
215,yeppoon,-23.1333,150.7333,25.14,41,0,2.57,AU,1718155609
216,rouyn-noranda,48.2398,-79.0288,18.05,45,20,3.6,CA,1718155322
217,tralee,52.2704,-9.7026,6.53,90,24,0.05,IE,1718155609
218,kyren,51.6828,102.1408,12.19,80,56,0.45,RU,1718155609
219,laguna,38.421,-121.4238,39.66,32,0,3.09,US,1718155609
220,grand falls-windsor,48.9332,-55.6649,11.84,98,85,2.72,CA,1718155610
221,cestos city,5.46,-9.5828,26.07,86,100,4.51,LR,1718155610
